name,obj_id,num_partial_points,num_gt_points,num_adapointr_points,partial_cd_l2_x1000,adapointr_cd_l2_x1000,improvement_percent,partial_fscore_0p01,adapointr_fscore_0p01,partial_fscore_0p02,adapointr_fscore_0p02
scene000048_im000001_gt000000_obj000001,1,2048,8192,16384,279.99218918698693,398.31619761438685,-42.25975330632517,0.0037730823863636365,0.003199084051724138,0.029937020571827056,0.017833950988247863
scene000048_im000001_gt000001_obj000006,6,2048,8192,16384,50.456078335216475,56.572300132974654,-12.121873121259368,0.0524604700355273,0.02919244627485451,0.19805700410125243,0.09611061482581
scene000048_im000001_gt000002_obj000014,14,2048,8192,16384,116.76570952453648,130.6457073375429,-11.88704960516661,0.05120670499435666,0.02303584929435484,0.2028161889644071,0.08943281864955724
scene000048_im000001_gt000003_obj000019,19,2048,8192,16384,240.85286248168305,253.6744158747209,-5.323396724841882,0.032298430735930736,0.028188811862929184,0.11165014240325166,0.08897334686919299
scene000048_im000001_gt000004_obj000020,20,2048,8192,16384,25.845675335058544,22.86421818690268,11.535613248656915,0.12315141708892378,0.13374113101479257,0.3005127293311658,0.31497464295259187
scene000049_im000001_gt000000_obj000003,3,2048,8192,16384,40.302069805377734,80.69736862905702,-100.23132563352644,0.06798879117334547,0.009459763430477528,0.32267881210130356,0.04526983869737645
scene000049_im000001_gt000001_obj000006,6,2048,8192,16384,95.634646608037,170.83669838908136,-78.63473589154715,0.017978650633640552,0.01743620242214533,0.09031216739593188,0.06176176525297619
scene000049_im000001_gt000002_obj000009,9,2048,8192,16384,127.43505385170822,213.00163461468702,-67.14524628564891,0.021408672480620155,0.0029005698107798165,0.12971371644295301,0.013944185697115384
scene000049_im000001_gt000003_obj000013,13,2048,8192,16384,232.94932079764695,278.3118061176981,-19.47311336419634,0.08622761936339522,0.012755807522123894,0.27674542075922487,0.05155050157446965
scene000050_im000620_gt000000_obj000002,2,2048,8192,16384,142.653689430615,172.9346724286632,-21.22691892436226,0.08035176451574988,0.005805783155487805,0.2644482675423613,0.02448124616093366
scene000050_im000620_gt000002_obj000005,5,2048,8192,16384,124.40189887165927,157.44296032311686,-26.559933370104588,0.07010833480878187,0.02076405338921283,0.2634860802086373,0.056416409322763025
scene000050_im000620_gt000003_obj000010,10,2048,8192,16384,15.402206638562715,19.68489526933667,-27.80568220693346,0.19499938545590517,0.055404443915614165,0.44072749355298985,0.15449987240163326
scene000050_im000620_gt000004_obj000015,15,2048,8192,16384,14.076020073942919,16.391667839917346,-16.451012102924466,0.19316121366902617,0.11419453125,0.4238872002537808,0.27791848710984685
scene000051_im000001_gt000000_obj000001,1,2048,8192,16384,209.5578594128634,292.36837506347825,-39.516778746753914,0.032656063766388556,0.003955785778985507,0.16451907467532467,0.018876922796972048
scene000051_im000001_gt000001_obj000003,3,2048,8192,16384,13.676083056551521,11.723901768293677,14.274418195512876,0.24036681439117755,0.06510476670506912,0.5080488759499014,0.18545218363038918
scene000051_im000001_gt000002_obj000004,4,2048,8192,16384,87.37768382778033,195.1235764399901,-123.31053867778729,0.014553931451612902,0.0007796748991935483,0.09699430418719211,0.004780586129926109
scene000051_im000001_gt000003_obj000012,12,2048,8192,16384,51.45136526965004,83.90543489159501,-63.07717871402894,0.08237479967948717,0.08152248267055819,0.3460831390531583,0.17534263084708487
scene000051_im000001_gt000004_obj000017,17,2048,8192,16384,50.6229415804982,134.93713359413027,-166.5533242068907,0.07179878048780487,0.0677898531303602,0.25087449717819404,0.21191001789667238
scene000052_im000001_gt000000_obj000005,5,2048,8192,16384,64.67300864117892,106.03855244251537,-63.96106300055132,0.06595810578478964,0.012271610383064516,0.2759390082046332,0.045843680014100864
scene000052_im000001_gt000001_obj000006,6,2048,8192,16384,46.17308181550538,55.81667476115703,-20.885746773812354,0.06272515741210277,0.03182712194515903,0.20808354005880192,0.10257884837962963
scene000052_im000001_gt000002_obj000011,11,2048,8192,16384,79.71531641894416,142.0131918560813,-78.15044615733622,0.07300477360210697,0.0063943142361111115,0.2720732240644965,0.030255717615927418
scene000053_im000001_gt000000_obj000004,4,2048,8192,16384,86.96857983767708,143.86228195919955,-65.41868595268774,0.046322505240511916,0.00600150381455399,0.2250616661224109,0.02303167257585752
scene000053_im000001_gt000001_obj000009,9,2048,8192,16384,115.36020515361668,172.8009900096401,-49.79254742095313,0.02888424295774648,0.007214902052238806,0.1475,0.033981090596973094
scene000053_im000001_gt000002_obj000013,13,2048,8192,16384,11.373975575952533,114.90130873135719,-910.2123744162743,0.07910716614501825,0.02262311454599761,0.3782170326058375,0.07803873280735078
scene000054_im000001_gt000000_obj000002,2,2048,8192,16384,64.24523519485389,97.15256037117959,-51.22142533453064,0.05855088939061445,0.03563624124575552,0.22279691828254847,0.10004429768041237
scene000054_im000001_gt000001_obj000003,3,2048,8192,16384,44.200655259466245,81.6331585111637,-84.68766589988668,0.06222284973226238,0.010117992912371135,0.3035269133804937,0.055088837688791734
scene000054_im000001_gt000002_obj000012,12,2048,8192,16384,41.381648033294184,62.749979234251185,-51.637216535612126,0.07041794766046791,0.037483673214633674,0.3035715929170962,0.12074010291927659
scene000054_im000001_gt000003_obj000015,15,2048,8192,16384,24.357230448795928,80.13183581108879,-228.98582611657318,0.07049900968309859,0.05030333251212856,0.26735132605003087,0.1406610462613099
scene000054_im000001_gt000004_obj000019,19,2048,8192,16384,13.539195192479244,12.949415956159363,4.356087846694842,0.0931056541732595,0.12063683160965855,0.27087749972044134,0.2706391237462787
scene000055_im000022_gt000000_obj000001,1,2048,8192,16384,53.412817460120664,79.57868486266425,-48.98799323229797,0.0628099890241882,0.009275903392330384,0.2772493756532401,0.04639305594987021
scene000055_im000022_gt000001_obj000003,3,2048,8192,16384,39.31080492564112,40.780328247693234,-3.7382173293876932,0.11349409054487179,0.037238117966237945,0.3469325668044927,0.11618671794686455
scene000055_im000022_gt000002_obj000004,4,2048,8192,16384,165.26421453030957,234.4218480960137,-41.846708171066616,0.026944999518489984,0.007061136179956897,0.13451230615601503,0.023334954975579976
scene000055_im000022_gt000003_obj000012,12,2048,8192,16384,246.70511649165144,358.3452754397367,-45.25247004833124,0.029513888888888888,0.03459581722508591,0.13302825218023256,0.09123036702473958
scene000055_im000022_gt000004_obj000014,14,2048,8192,16384,40.55913948103337,148.15514515736712,-265.2817763223225,0.01648097003631961,0.001214748475609756,0.0995507972986853,0.004069010416666667
scene000055_im000022_gt000005_obj000016,16,2048,8192,16384,83.40702381568065,119.73346938138178,-43.55322118431915,0.05637403056569343,0.0029834432339449542,0.2548191555762159,0.020176455635790173
scene000056_im000001_gt000000_obj000001,1,2048,8192,16384,450.18634692968516,534.2815082425404,-18.68007812462382,0.008436786529680365,0.03267138535356477,0.060341641865079364,0.09195222026915245
scene000056_im000001_gt000001_obj000010,10,2048,8192,16384,601.8835226093178,1019.493650760841,-69.38387785415313,0.030990781044678055,0.023703321066602317,0.12614366880203848,0.07056191107024722
scene000056_im000001_gt000002_obj000011,11,2048,8192,16384,88.05603908296678,151.29405743833803,-71.81565173035791,0.08066215701219512,0.010269723811619719,0.29734200566644114,0.04297593060661765
scene000056_im000001_gt000003_obj000015,15,2048,8192,16384,64.03866315922987,88.29485789673276,-37.877422077332746,0.05020553546831956,0.07819431691564872,0.16946247751009302,0.16508809656808596
scene000057_im000001_gt000000_obj000004,4,2048,8192,16384,97.52788006115264,170.35881139438385,-74.67703726110341,0.012200342465753425,0.001843808302238806,0.06684874443874059,0.010634280041436465
scene000057_im000001_gt000001_obj000012,12,2048,8192,16384,69.0720386331082,109.12153894310087,-57.98221842375997,0.04625798595050879,0.060668392958144794,0.22101534329927885,0.14297270510238944
scene000057_im000001_gt000002_obj000018,18,2048,8192,16384,11.004788119465209,21.278060256395907,-93.35274814386831,0.04451308139534884,0.07644385204143889,0.1671574105914718,0.20797092029639644
scene000057_im000001_gt000003_obj000020,20,2048,8192,16384,10.153010622052886,13.367719726714926,-31.66261933853905,0.0965191566780822,0.12123996642320405,0.28266964285714286,0.29773071861394845
scene000057_im000001_gt000004_obj000021,21,2048,8192,16384,121.60683210312801,175.6902025296451,-44.47395717096879,0.018128142959770114,0.013686800627729258,0.11118146603098927,0.051919729598445596
scene000058_im000030_gt000000_obj000003,3,2048,8192,16384,511.768336144067,794.2419567369883,-55.19560329215104,0.01878873966942149,0.014241874837577963,0.12244301653922872,0.05794553485287024
scene000058_im000030_gt000001_obj000007,7,2048,8192,16384,133.45127938661676,142.49099025074986,-6.773791083669167,0.04725580860051993,0.03109242049767385,0.18569880228353228,0.0960273182606036
scene000058_im000030_gt000002_obj000008,8,2048,8192,16384,59.82893231006284,116.34216694183117,-94.45803635419911,0.029396467776203965,0.021897939387583894,0.16557708105147864,0.08279609403347242
scene000058_im000030_gt000003_obj000011,11,2048,8192,16384,80.3411018502016,130.25319392751047,-62.125227222264726,0.07231559371523916,0.009357296235380117,0.2967609328934438,0.04216460519175109
scene000059_im000001_gt000000_obj000002,2,2048,8192,16384,81.64122336022172,147.73696747647014,-80.9587869900201,0.03887414832285115,0.03578799745977985,0.2046780390496716,0.1028545711908762
scene000059_im000001_gt000001_obj000004,4,2048,8192,16384,126.87614868349523,196.88440046558355,-55.17841809395607,0.02484494782793867,0.0053428764918341705,0.14092071123321123,0.021292550223214284
scene000059_im000001_gt000002_obj000006,6,2048,8192,16384,87.16344959010962,45.98411648208841,47.24380838719559,0.08351679825530035,0.06909027099609374,0.18718073617451544,0.18284440801032545
scene000059_im000001_gt000003_obj000009,9,2048,8192,16384,261.85520822323076,220.76102472522726,15.693475710046156,0.026155304676634215,0.01759132179054054,0.0766639439291737,0.07479579184640851
scene000059_im000001_gt000004_obj000015,15,2048,8192,16384,34.85815614416873,103.18639479549883,-196.01793729058278,0.04417178803339518,0.030133928571428572,0.20009922379872838,0.10512681711350975
scene000059_im000001_gt000005_obj000018,18,2048,8192,16384,12.594202370398444,35.31188859448239,-180.38209611019002,0.08098610512710039,0.10672845455514497,0.24268723447223553,0.2485401559151387
